horizon,model,qlike,rmse_vol_pct,n
1,rw,0.6439319587586847,7.247119916597912,5659
1,ewma,0.477248704101751,8.682386214988608,5659
1,garch,0.4855282176501535,8.359645803937198,5659
1,har,0.3775043646013681,6.510979706005229,5659
1,har_vix,0.747476776835293,6.548105204984511,5659
5,rw,0.3114471744086628,5.743504771791834,5655
5,ewma,0.32312385880214906,7.556213198694112,5655
5,garch,0.335568947594821,7.204089032411906,5655
5,har,0.24928080698096336,5.488081336697036,5655
5,har_vix,0.24173331551064525,5.246332490694974,5655
22,rw,0.38618517853082546,6.446874180588641,5638
22,ewma,0.32965765316114753,7.971542967629546,5638
22,garch,0.33774371523444885,7.495324474404084,5638
22,har,0.28334626823473974,5.948711627925384,5638
22,har_vix,0.2580598764915684,5.776476342140793,5638
